PID,task_no,bug,condition,correct,buggy_min,other_min,total_fix_min,buggy_propfix,other_propfix,source_propfix
P2,1,math50,control,N,0.0,4.162066084798177,14.056463114420573,0.0,0.29609625486288216,0.29609625486288216
P2,2,chart12,overfitting,N,0.2730546671549479,8.980234529622395,14.124933357747397,0.01933139507558667,0.6357718158505024,0.655103210926089
P2,3,lang10,correct,N,4.360395491536458,1.2456886393229167,9.503982373046876,0.4587966728455286,0.1310701756829503,0.5898668485284789
P3,1,chart12,overfitting,Y,0.8154100830078125,4.609414571126302,11.309784297688802,0.07209775726442852,0.4075599012147609,0.4796576584791894
P3,2,math50,control,N,4.843863736979166,4.295671468098958,13.507012072753906,0.35861845024556677,0.3180326962736716,0.6766511465192384
P3,3,math63,correct,Y,6.094551029459636,0.7995800211588542,9.164119689941407,0.6650448963634829,0.08725115430743206,0.752296050670915
P4,1,math63,overfitting,Y,5.1799745279947915,1.2105492960611979,9.556061641438802,0.5420616486537096,0.12667868223157802,0.6687403308852876
P4,2,chart12,correct,Y,1.130966866048177,1.3120769816080728,7.467326489257813,0.1514553927265855,0.1757090684993582,0.32716446122594367
P4,3,lang10,control,N,0.19458238932291666,6.928301985677083,17.17617112223307,0.011328624286413085,0.40336707968104685,0.4146957039674599
P5,1,math63,control,N,1.3513820882161458,0.6586079956054688,4.874559346516927,0.27723164129323075,0.13511128879291853,0.4123429300861493
P5,2,lang10,overfitting,N,0.2533325846354167,0.08416595458984374,3.125677844238281,0.0810488467653176,0.026927264671562704,0.1079761114368803
P5,3,math33,correct,Y,0.03277760009765625,0.4891638956705729,3.2601224487304687,0.01005410091587825,0.15004463892485365,0.1600987398407319
P6,1,chart12,correct,Y,2.1541531982421875,2.6776229736328125,6.232045699055989,0.34565747785971657,0.4296539375567176,0.7753114154164342
P6,2,lang10,control,N,0.0,5.248859936523438,15.621996744791666,0.0,0.33599161632608804,0.33599161632608804
P6,3,math63,overfitting,Y,2.0241568603515625,0.36360960693359373,3.6474820068359377,0.5549463593125296,0.09968784116059623,0.6546342004731258
P7,1,math50,control,N,4.327616988118489,0.9030529825846354,6.707883382161459,0.6451538796317022,0.13462562348447502,0.7797795031161773
P7,2,math33,correct,N,1.8991573811848959,1.5372134033203124,5.971496748860677,0.31803707865155295,0.25742514280253154,0.5754622214540845
P8,1,lang10,correct,Y,1.0011065877278646,4.982194946289063,14.216584537760417,0.07041822071038535,0.3504495002337547,0.42086772094414004
P8,2,math50,overfitting,N,0.004999930826822917,4.835670658365886,15.295057356770833,0.000326898468583352,0.3161590405037105,0.3164859389722939
P8,3,math63,control,Y,11.215219193522135,1.5865175903320312,17.079349487304686,0.6566537678650208,0.0928909846075409,0.7495447524725618
P9,1,math33,control,N,0.0,6.6301021402994795,17.36933983968099,0.0,0.3817129609700382,0.3817129609700382
P9,2,math50,overfitting,N,3.2044267374674478,5.473998795572917,13.563117569986979,0.23626033770866472,0.40359443670133816,0.6398547744100028
P9,3,chart12,correct,Y,0.969854227701823,0.5558296468098959,3.358587434895833,0.28876849166557517,0.1654950652869143,0.4542635569524895
P10,1,math50,overfitting,N,6.820799772135417,1.809294307454427,14.986448828125,0.45513115550996,0.12072868817721064,0.5758598436871706
P11,1,chart12,overfitting,Y,0.5244407267252604,1.2074921468098958,3.4565032836914065,0.15172580023276552,0.3493392158795645,0.50106501611233
P11,2,math33,correct,Y,2.5423466715494794,5.357192301432292,14.374086787923178,0.17687013506037189,0.37269792373406974,0.5495680587944416
P11,3,math50,control,N,5.720943721516927,3.4458141927083332,13.345347306315103,0.42868451380128114,0.2582034107930449,0.6868879245943261
P12,1,math63,correct,N,1.419852852376302,0.9154126912434896,6.986489697265625,0.20322836129451455,0.13102612769925992,0.33425448899377447
P12,2,chart12,control,Y,0.651941796875,2.233323828125,6.013859851074219,0.1084065497067657,0.37136279917232773,0.47976934887909345
P12,3,lang10,overfitting,N,0.22235995279947918,1.6822143961588543,8.608845430501303,0.02582924209693133,0.19540534322973632,0.22123458532666768
P13,1,chart12,control,Y,0.7701325642903646,3.7473393636067707,9.445635611979167,0.08153316472569248,0.3967270724327234,0.4782602371584159
P13,2,math50,correct,Y,0.971382694498698,0.37610913899739584,5.058995202636718,0.1920109934068368,0.07434463246799879,0.2663556258748356
P13,3,lang10,overfitting,N,0.6213851481119792,2.2226253173828123,10.068130395507813,0.06171802744919038,0.22075849537809927,0.28247652282728963
P14,1,chart12,correct,Y,0.7583273315429687,0.2756920613606771,1.7066538045247397,0.44433576952306614,0.16153953463189355,0.6058753041549597
P14,2,math63,overfitting,N,2.775400870768229,0.24597096761067708,5.618162292480469,0.4940051081263558,0.04378139234957534,0.5377865004759311
P14,3,math33,control,N,0.4220813028971354,4.978586328125,15.990058272298176,0.026396483096522927,0.3113551084895109,0.33775159158603385
P15,1,chart12,overfitting,N,2.3810966267903644,5.094690946451823,9.89757841796875,0.24057365612456844,0.514741154988231,0.7553148111127994
P15,2,math50,control,N,0.9449939737955729,4.050254813639323,9.507164404296875,0.09939808902099892,0.4260213289052583,0.5254194179262572
P15,3,math33,correct,N,1.4615201049804687,4.369002180989583,13.457560880533855,0.10860215442863305,0.32465037459420115,0.43325252902283423
P16,1,math63,overfitting,Y,1.8470708902994792,0.586384501139323,3.423726318359375,0.5394913957914084,0.17127084545131346,0.7107622412427219
P16,2,chart12,correct,Y,1.5688792195638022,2.611093391927083,5.646073673502604,0.2778708373797274,0.4624617996362882,0.7403326370160157
P16,3,math50,control,N,1.0347181844075521,1.2851305826822916,14.76088233235677,0.07009866762093114,0.0870632631401177,0.1571619307610488
P17,1,math33,correct,Y,2.6772033162434896,1.2320757975260417,9.60021416829427,0.2788691240957143,0.12833836578303673,0.40720748987875105
P17,2,lang10,overfitting,N,1.2512414428710938,1.3041597412109376,11.564514607747396,0.10819662435575564,0.11277254475836314,0.22096916911411876
P17,3,math63,control,N,1.3780480509440105,0.31319247233072917,2.5379009684244793,0.5429873222356262,0.12340610458301611,0.6663934268186422
P18,1,math33,correct,Y,0.2755540079752604,1.4611026123046875,6.321214628092448,0.04359193987033064,0.23114269934947682,0.27473463921980745
P18,2,chart12,control,Y,3.5533154744466144,4.473865604654948,11.549939990234375,0.30764795985528837,0.38734968393235464,0.6949976437876431
P18,3,lang10,overfitting,N,0.49263607584635416,0.3569420166015625,3.844421378580729,0.12814310069938897,0.09284674635050989,0.22098984704989885
P19,1,math63,control,N,1.3859642740885416,1.3977709147135418,5.472748103841146,0.2532483220113453,0.2554056733823527,0.5086539953936979
P19,2,math50,correct,Y,0.3137474894205729,0.06999996744791667,1.0549933797200521,0.2973928514165913,0.06635109640829359,0.36374394782488484
P19,3,math33,overfitting,N,1.1672158040364584,1.6908244018554688,4.766502897135417,0.24487886176213894,0.3547305935493345,0.5996094553114735
P20,1,math33,control,N,0.00541663818359375,4.892204532877604,12.71827959391276,0.00042589393821679066,0.38465930055658765,0.38508519449480444
P20,2,chart12,overfitting,N,0.086111083984375,4.556511315917969,10.753984151204428,0.008007365714290244,0.42370448494734364,0.43171185066163387
P20,3,math63,correct,N,5.045396354166667,0.20722122802734375,10.476205875651042,0.48160530768999626,0.019780179054038113,0.5013854867440344
P21,1,chart12,overfitting,Y,0.8081897827148438,3.6152576171875,6.6028797159830726,0.12239959191722397,0.5475274081453172,0.6699270000625411
P21,2,math50,control,N,2.814985852050781,1.3562434122721354,7.294131026204427,0.385924771838872,0.18593625579246964,0.5718610276313417
P21,3,lang10,correct,Y,0.09555504150390624,0.04805524495442708,2.5298463460286458,0.03777108505182878,0.01899532160514975,0.056766406656978526
P22,1,math50,overfitting,N,0.9948563557942708,1.9777650227864583,6.699269970703125,0.1485022039931099,0.2952209765296085,0.4437231805227184
P22,2,math63,correct,Y,0.7152745157877605,0.05666635335286458,1.8499911092122396,0.3866367315096652,0.030630608477353254,0.41726733998701854
P22,3,chart12,control,N,3.098874491373698,3.784983557128906,11.862166772460938,0.2612401722902773,0.319080285223782,0.5803204575140594
P23,1,math50,correct,Y,1.2719376424153646,1.3784626302083334,6.878015242513021,0.18492800576444152,0.2004157568142702,0.3853437625787118
P23,2,lang10,overfitting,N,1.3954092163085938,2.454571960449219,14.033820048014324,0.09943188750706786,0.17490404979195395,0.2743359372990218
P23,3,chart12,control,N,0.7211066813151041,6.131077388509115,14.06770576985677,0.05125972160010893,0.43582638767199194,0.4870861092721009
P24,1,lang10,correct,Y,2.4637370564778647,1.949712353515625,10.152449169921875,0.24267415824912952,0.19204354741237561,0.43471770566150514
P24,2,chart12,control,Y,1.0811048950195312,1.6379078816731771,4.462474015299479,0.24226581293537855,0.36704031800692877,0.6093061309423073
P24,3,math33,overfitting,Y,2.6769310913085937,1.019996561686198,6.4664970703125,0.41396927303938735,0.15773556387568355,0.5717048369150709
P25,1,lang10,control,N,0.0,9.389958089192708,17.114085782877606,0.0,0.5486684014747212,0.5486684014747212
P25,2,math50,control,N,5.579838793945313,4.002067069498698,14.014107303873699,0.39815870343756865,0.28557417056400514,0.6837328740015738
P25,3,math33,overfitting,N,0.5704143229166667,0.1023606689453125,3.9091469360351563,0.1459178517078737,0.02618491211003994,0.17210276381791362
P26,1,math63,control,N,0.0,1.022912227376302,5.94636474609375,0.0,0.17202312186588745,0.17202312186588745
P26,2,math33,overfitting,N,2.7334609985351563,0.8629125122070312,6.962608695475261,0.39259150098605,0.12393523030639447,0.5165267312924445
P26,3,chart12,correct,Y,0.4168040771484375,2.090686112467448,4.584979960123698,0.09090641197419598,0.4559858779428654,0.5468922899170613
P27,1,chart12,overfitting,N,1.1951350138346355,2.244016857910156,5.016921594238282,0.23822078766532778,0.44728960095515796,0.6855103886204859
P27,2,math33,control,N,0.0,3.128459212239583,9.601485530598959,0.0,0.32583074798889206,0.32583074798889206
P27,3,lang10,correct,Y,0.17055458170572918,1.7333264404296875,9.002466459147135,0.018945317095009424,0.19253906118900413,0.21148437828401356
P28,1,lang10,overfitting,N,0.44833028157552085,0.20777668863932292,4.489692618815104,0.0998576783846378,0.04627859995773124,0.14613627834236903
P28,2,chart12,correct,Y,0.706523701985677,0.6673568481445312,3.4410891764322917,0.2053197885206213,0.19393767901023834,0.39925746753085967
P29,1,math50,correct,Y,6.039135734049479,0.13833302001953124,14.984500655110677,0.403025491008921,0.009231740396524378,0.41225723140544535
P29,2,math33,overfitting,N,6.467052075195313,1.6147143351236979,13.827152290852865,0.467706722191343,0.11677851672986105,0.5844852389212041
P29,3,math63,control,N,6.167465515136719,0.7320796793619792,11.228827368164062,0.549252857214877,0.06519644975908787,0.6144493069739649
P30,1,chart12,correct,Y,0.49444106038411456,0.4252736083984375,2.421925634765625,0.2041520405443674,0.17559317358627,0.3797452141306374
P30,2,lang10,control,N,0.21569324544270832,6.583714017740886,16.487270247395834,0.013082410987760517,0.39932104702297727,0.4124034580107378
P30,3,math50,overfitting,N,1.136937284342448,0.006527714029947917,3.9788659098307293,0.28574405624813226,0.0016405966368003646,0.28738465288493265
P31,1,chart12,control,Y,0.6206905232747396,0.4920796183268229,1.7845706624348958,0.3478094402985757,0.2757411789205488,0.6235506192191245
P31,2,math33,correct,Y,1.692629248046875,3.9759489420572915,7.453565279134114,0.22708988043417377,0.533429143390984,0.7605190238251578
P31,3,math50,overfitting,N,2.7740107462565105,3.227619832356771,10.583828540039063,0.26209898769262113,0.30495768333231693,0.5670566710249381
P32,1,math50,control,Y,1.7315188354492188,4.497750968424479,9.822718428548177,0.17627694899782867,0.45789269041373293,0.6341696394115616
P32,3,math63,correct,Y,1.6399921915690103,0.39027548421223957,2.4670708536783854,0.6647527731616599,0.15819386931280938,0.8229466424744692
P33,1,chart12,overfitting,N,0.0,0.4137466634114583,3.36803271484375,0.0,0.12284520325113674,0.12284520325113674
P33,2,lang10,control,N,0.0,0.9284666178385417,16.059624365234374,0.0,0.0578137194695831,0.0578137194695831
P33,3,math63,correct,Y,2.089431787109375,0.8262453938802083,9.057445263671875,0.23068665901739296,0.0912227863185838,0.32190944533597676
P34,1,math63,overfitting,Y,6.849403572591146,1.0884638631184895,12.355759020996095,0.5543490740594714,0.08809364615066279,0.6424427202101342
P34,2,chart12,correct,Y,1.554990576171875,1.4054094401041666,5.695384041341145,0.2730264657983813,0.24676289252888056,0.5197893583272619
P34,3,math33,control,N,0.0,11.081888846842448,18.117126822916667,0.0,0.6116802600743941,0.6116802600743941
P35,1,lang10,correct,Y,5.378164270019531,1.1917974446614583,12.256730839029949,0.4387927205591783,0.09723616030355631,0.5360288808627346
P35,2,math33,overfitting,N,2.9259542765299478,2.370124963378906,9.709385420735677,0.3013531907262828,0.24410658972474106,0.5454597804510238
P35,3,math50,control,N,4.731082918294271,4.670944763183594,14.092972041829427,0.3357051233942647,0.3314378790591323,0.667143002453397
P36,1,math63,correct,N,5.416632080078125,0.3881921712239583,13.920190165201824,0.3891205519317409,0.027886987650095087,0.417007539581836
P36,2,chart12,control,Y,0.6968004069010416,0.4238862548828125,2.9863672526041665,0.23332709876637545,0.14194043097451461,0.37526752974089
P36,3,math33,overfitting,N,0.0,0.406663330078125,15.31477019856771,0.0,0.026553668439383935,0.026553668439383935
P37,1,chart12,control,Y,3.8483117268880207,6.514268444824219,13.966028771972656,0.2755480308483182,0.46643670517829666,0.7419847360266149
P37,2,lang10,correct,N,0.9287445963541666,4.166508341471354,16.713944372558593,0.05556705082009275,0.24928336774364523,0.304850418563738
P37,3,math50,overfitting,N,5.519279077148438,4.7967808756510415,17.7907396484375,0.3102332554022383,0.2696223411977324,0.5798555965999707
